,score,show
0,0.9026916,"{'id': 139, 'url': 'https://www.tvmaze.com/shows/139/girls', 'name': 'Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Romance'], 'status': 'Ended', 'runtime': 30, 'averageRuntime': 30, 'premiered': '2012-04-15', 'ended': '2017-04-16', 'officialSite': 'http://www.hbo.com/girls', 'schedule': {'time': '22:00', 'days': ['Sunday']}, 'rating': {'average': 6.5}, 'weight': 99, 'network': {'id': 8, 'name': 'HBO', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.hbo.com/'}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': 30124, 'thetvdb': 220411, 'imdb': 'tt1723816'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/31/78286.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/31/78286.jpg'}, 'summary': '<p>This Emmy winning series is a comic look at the assorted humiliations and rare triumphs of a group of girls in their 20s.</p>', 'updated': 1704794122, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/139'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/1079686', 'name': 'Latching'}}}"
1,0.8883017,"{'id': 41734, 'url': 'https://www.tvmaze.com/shows/41734/girls', 'name': 'GIRLS', 'type': 'Scripted', 'language': 'Mongolian', 'genres': ['Comedy'], 'status': 'Ended', 'runtime': 41, 'averageRuntime': 41, 'premiered': '2018-06-15', 'ended': '2019-10-14', 'officialSite': 'https://www.ubstv.mn/tech-blog/index1.html', 'schedule': {'time': '', 'days': ['Thursday']}, 'rating': {'average': None}, 'weight': 72, 'network': {'id': 1672, 'name': 'UBS', 'country': {'name': 'Mongolia', 'code': 'MN', 'timezone': 'Asia/Ulaanbaatar'}, 'officialSite': None}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': None, 'imdb': 'tt8709752'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/191/478539.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/191/478539.jpg'}, 'summary': None, 'updated': 1743150150, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/41734'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/3187423', 'name': 'Episode 1'}}}"
2,0.69558483,"{'id': 525, 'url': 'https://www.tvmaze.com/shows/525/gilmore-girls', 'name': 'Gilmore Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Comedy', 'Romance'], 'status': 'Ended', 'runtime': 60, 'averageRuntime': 60, 'premiered': '2000-10-05', 'ended': '2007-05-15', 'officialSite': None, 'schedule': {'time': '21:00', 'days': ['Tuesday']}, 'rating': {'average': 8.1}, 'weight': 99, 'network': {'id': 5, 'name': 'The CW', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.cwtv.com/'}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': 3683, 'thetvdb': 76568, 'imdb': 'tt0238784'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/4/11308.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/4/11308.jpg'}, 'summary': '<p><b>Gilmore Girls</b> is a drama centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.</p>', 'updated': 1786119468, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/525'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/47639', 'name': 'Bon Voyage'}}}"
3,0.6945541,"{'id': 33320, 'url': 'https://www.tvmaze.com/shows/33320/derry-girls', 'name': 'Derry Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Comedy'], 'status': 'Ended', 'runtime': None, 'averageRuntime': 31, 'premiered': '2018-01-04', 'ended': '2022-05-18', 'officialSite': 'http://www.channel4.com/programmes/derry-girls', 'schedule': {'time': '', 'days': []}, 'rating': {'average': 7.8}, 'weight': 96, 'network': {'id': 45, 'name': 'Channel 4', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': 'https://www.channel4.com/'}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 338903, 'imdb': 'tt7120662'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/402/1007479.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/402/1007479.jpg'}, 'summary': ""<p>16-year-old Erin Quinn lives with her uncompromising mother, her long-suffering father and the fearsome ‘Granda Joe', a man whose love for his daughters and granddaughters is surpassed only by his contempt for his son-in-law.</p><p>It's the early 90s, and Erin is used to seeing her country on the nightly news and speaking in acronyms (The IRA, The UDA, The RUC). This is a time of armed police in armoured Land Rovers and British Army check points. But it's also the time of Murder She Wrote, The Cranberries, MJ and Lisa Marie, Doc Martens, bomber jackets, The X Files, Nirvana and Wayne's World. And while The Troubles may hang over her home town, Erin has troubles of her own</p>"", 'updated': 1767952534, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/33320'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2323336', 'name': 'The Agreement'}}}"
4,0.6933011,"{'id': 67594, 'url': 'https://www.tvmaze.com/shows/67594/dope-girls', 'name': 'Dope Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Crime', 'History'], 'status': 'To Be Determined', 'runtime': None, 'averageRuntime': 53, 'premiered': '2025-02-22', 'ended': None, 'officialSite': 'https://www.bbc.co.uk/programmes/m0028c6h', 'schedule': {'time': '', 'days': []}, 'rating': {'average': 5.6}, 'weight': 94, 'network': None, 'webChannel': {'id': 26, 'name': 'BBC iPlayer', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': 'https://www.bbc.co.uk/iplayer'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 444004, 'imdb': 'tt27191732'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/556/1390988.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/556/1390988.jpg'}, 'summary': '<p>As WWI ends, housewife Kate Galloway sets up a nightclub in Soho to support her daughters. But Kate must contend with a dangerous gangster family and the police to survive.</p>', 'updated': 1743048317, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/67594'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/3146764', 'name': 'Rage'}}}"
5,0.6931174,"{'id': 23542, 'url': 'https://www.tvmaze.com/shows/23542/good-girls', 'name': 'Good Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Comedy', 'Crime'], 'status': 'Ended', 'runtime': 60, 'averageRuntime': 60, 'premiered': '2018-02-26', 'ended': '2021-07-22', 'officialSite': 'https://www.nbc.com/good-girls', 'schedule': {'time': '21:00', 'days': ['Thursday']}, 'rating': {'average': 7.2}, 'weight': 93, 'network': {'id': 1, 'name': 'NBC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.nbc.com/'}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 328577, 'imdb': 'tt6474378'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/297/744253.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/297/744253.jpg'}, 'summary': '<p><b>Good Girls</b> follows three ""good girl"" suburban wives and mothers who suddenly find themselves in desperate circumstances and decide to stop playing it safe, and risk everything to take their power back.</p>', 'updated': 1742614225, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/23542'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2108575', 'name': 'Nevada'}}}"
6,0.6922761,"{'id': 1073, 'url': 'https://www.tvmaze.com/shows/1073/bomb-girls', 'name': 'Bomb Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Romance', 'War'], 'status': 'Ended', 'runtime': 60, 'averageRuntime': 60, 'premiered': '2012-01-04', 'ended': '2013-04-29', 'officialSite': None, 'schedule': {'time': '20:00', 'days': ['Monday']}, 'rating': {'average': 7.7}, 'weight': 91, 'network': {'id': 67, 'name': 'Global', 'country': {'name': 'Canada', 'code': 'CA', 'timezone': 'America/Toronto'}, 'officialSite': None}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': 30600, 'thetvdb': 254378, 'imdb': 'tt1955311'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/7/17549.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/7/17549.jpg'}, 'summary': '<p>Set in the 1940s, <b>Bomb Girls</b> tells the remarkable stories of the women who risked their lives in a munitions factory building bombs for the Allied forces fighting on the European front. The series delves into the lives of these exceptional women – peers, friends and rivals – who find themselves thrust into new worlds and changed profoundly as they are liberated from their home and social restrictions.</p>', 'updated': 1704793418, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/1073'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/108024', 'name': 'Blood Relations'}}}"
7,0.6919901,"{'id': 1308, 'url': 'https://www.tvmaze.com/shows/1308/bad-girls', 'name': 'Bad Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Drama', 'Crime', 'Romance'], 'status': 'Ended', 'runtime': 60, 'averageRuntime': 61, 'premiered': '1999-06-01', 'ended': '2006-12-18', 'officialSite': None, 'schedule': {'time': '21:00', 'days': ['Thursday']}, 'rating': {'average': 8}, 'weight': 91, 'network': {'id': 35, 'name': 'ITV1', 'country': {'name': 'United Kingdom', 'code': 'GB', 'timezone': 'Europe/London'}, 'officialSite': 'https://www.itv.com/'}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': 2701, 'thetvdb': 75328, 'imdb': 'tt0203248'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/7/18492.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/7/18492.jpg'}, 'summary': ""<p>Step inside HMP Larkhall and meet the women of G-Wing, who've committed various offences that range from shoplifting to murder. <b>Bad Girls</b> shows what life is like for these women in the 'inside world' and also shows the real-life problems (and maybe behaviour!) of the officers who watch them!</p>"", 'updated': 1749776691, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/1308'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/111010', 'name': 'Christmas Special 2006'}}}"
8,0.6918941,"{'id': 49334, 'url': 'https://www.tvmaze.com/shows/49334/shining-girls', 'name': 'Shining Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Crime', 'Thriller', 'Supernatural'], 'status': 'Ended', 'runtime': None, 'averageRuntime': 49, 'premiered': '2022-04-29', 'ended': '2022-06-03', 'officialSite': 'https://tv.apple.com/show/shining-girls/umc.cmc.22xs4xobsimzy5qqdif0rhmdy', 'schedule': {'time': '', 'days': ['Friday']}, 'rating': {'average': 7.6}, 'weight': 91, 'network': None, 'webChannel': {'id': 310, 'name': 'Apple TV', 'country': None, 'officialSite': 'https://tv.apple.com/'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 385810, 'imdb': 'tt2953250'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/406/1015813.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/406/1015813.jpg'}, 'summary': '<p><b>Shining Girls</b> is a metaphysical thriller, which follows a Chicago reporter who survived a brutal assault only to find her reality shifting as she hunts down her attacker.</p>', 'updated': 1677523836, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/49334'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2272289', 'name': '30'}}}"
9,0.6904156,"{'id': 42726, 'url': 'https://www.tvmaze.com/shows/42726/florida-girls', 'name': 'Florida Girls', 'type': 'Scripted', 'language': 'English', 'genres': ['Comedy'], 'status': 'Ended', 'runtime': 30, 'averageRuntime': 30, 'premiered': '2019-07-10', 'ended': '2019-08-07', 'officialSite': 'https://poptv.com/floridagirls', 'schedule': {'time': '22:00', 'days': ['Wednesday']}, 'rating': {'average': 6.4}, 'weight': 88, 'network': {'id': 88, 'name': 'Pop', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': None}, 'webChannel': None, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 363682, 'imdb': 'tt8548870'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/203/508390.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/203/508390.jpg'}, 'summary': ""<p><b>Florida Girls</b> follows four women who are forced to confront their stagnant lives when their only ambitious friend moves away to follow her dreams. Bound by their friendship, they will attempt to navigate life's curveballs while living below the poverty line.</p>"", 'updated': 1583390100, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/42726'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/1673960', 'name': 'Island Party - Part Two'}}}"
